applicant_id,applicant_city,posid,year,aptdummy,female,black,juddummy,instatel,pubpvt,millerd,barnesd,perdued,deald,confirmed_atty_donor,political_donor,experience,sq_exp,gov_timely_donor,gov_nom_ideo_distance,n_times_applied_4_judgeships,number_applicants,median_lsat,gov_donor_amount,imputed_gov_nom_ideo_distance,bivariate_posid_missing,graph_aptdummy,model2_listwise,graph_aptdummym2,model3_listwise,graph_aptdummym3
377,covington,10013,1992,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,24,576,0,.017342031,2,30,165,0,.017342031,1,,1,,,0
154,atlanta,10013,1992,0,1,0,1,0,1,1,0,0,0,confirmed attorney,1,24,576,0,.18704084,11,30,162,0,.18704084,1,,1,,,0
2436,atlanta,10013,1992,0,1,1,1,0,1,1,0,0,0,,0,12,144,0,,6,30,167,0,.27350399,1,,1,,,0
998,albany,10013,1992,0,1,0,0,1,0,1,0,0,0,,0,12,144,0,,2,30,165,0,.053425767,1,,1,,,0
555,atlanta,10013,1992,0,1,1,1,1,1,1,0,0,0,,0,22,484,0,,11,30,165,0,.27350399,1,,1,,,0
1109,marietta,10013,1992,0,0,0,1,1,1,1,0,0,0,,0,25,625,0,,5,30,165,0,.074481376,1,,1,,,0
1531,atlanta,10013,1992,0,1,0,0,1,1,1,0,0,0,,0,16,256,0,,9,30,165,0,.27350399,1,,1,,,0
2549,tucker,10013,1992,0,0,0,0,0,1,1,0,0,0,confirmed attorney,1,14,196,0,.82847935,7,30,162,0,.82847935,1,,1,,,0
597,decatur,10013,1992,0,0,0,0,0,0,1,0,0,0,,0,18,324,0,,2,30,167,0,.67528963,1,,1,,,0
1421,savannah,10013,1992,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,22,484,0,.0036397954,3,30,165,0,.0036397954,1,,1,,,0
1169,atlanta,10013,1992,0,1,0,1,1,1,1,0,0,0,confirmed attorney,1,20,400,0,.77797174,6,30,165,0,.77797174,1,,1,,,0
932,elberton,10013,1992,0,0,0,1,1,1,1,0,0,0,,0,36,1296,0,,5,30,155,0,.027935393,1,,1,,,0
1175,decatur,10013,1992,0,1,1,1,1,0,1,0,0,0,,0,12,144,0,,7,30,165,0,.67528963,1,,1,,,0
1257,atlanta,10013,1992,0,0,0,1,0,1,1,0,0,0,,0,20,400,0,,5,30,169,0,.27350399,1,,1,,,0
242,jonesboro,10013,1992,0,0,0,0,1,0,1,0,0,0,,0,19,361,0,,4,30,165,0,.18019016,1,,1,,,0
981,savannah,10013,1992,0,1,0,1,1,1,1,0,0,0,,0,10,100,0,,2,30,165,0,.19655414,1,,1,,,0
214,homerville,10013,1992,0,0,0,1,1,1,1,0,0,0,,0,32,1024,0,,2,30,150,0,.076495402,1,,1,,,0
1171,atlanta,10013,1992,0,1,0,1,0,1,1,0,0,0,confirmed attorney,1,17,289,0,.25169873,3,30,155,0,.25169873,1,,1,,,0
1881,atlanta,10013,1992,0,0,0,0,1,0,1,0,0,0,,0,17,289,0,,2,30,165,0,.27350399,1,,1,,,0
1451,atlanta,10014,1992,0,0,0,0,1,1,1,0,0,0,confirmed attorney,1,38,1444,0,.47042429,1,31,165,0,.47042429,,0,,0,,0
880,atlanta,10014,1992,0,0,0,0,1,1,1,0,0,0,unknown career,1,36,1296,0,,1,31,165,0,.27350399,,,,,,0
1109,marietta,10014,1992,0,0,0,1,1,1,1,0,0,0,,0,25,625,0,,5,31,165,0,.074481376,,,,,,0
2214,gainesville,10014,1992,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,21,441,0,.27449545,3,31,165,0,.27449545,,0,,0,,0
1674,douglasville,10014,1992,0,0,0,1,1,1,1,0,0,0,,0,18,324,0,,3,31,165,0,.91175419,,,,,,0
